paper_id,title,split,domain,year,composite_novelty,structural_novelty,semantic_knn,triple_count
NOVEL_MT_234,cushLEPOR customising hLEPOR metric using Optuna for higher agreement with human judgments or pre-trained language model LaBSE,NOVEL,MT,2021,0.7028153414293352,0.8666666666666667,0.8862196207046509,75.0
NOVEL_MT_83,Introducing Mouse Actions into Interactive-Predictive Neural Machine Translation,NOVEL,MT,2021,0.7051416415057175,0.5476190476190477,0.9313756823539734,84.0
NOVEL_MT_31,WeChat Neural Machine Translation Systems for WMT21,NOVEL,MT,2021,0.7073661948642626,0.7286245353159851,0.9105274081230164,269.0
NOVEL_MT_253,Revisiting the Weaknesses of Reinforcement Learning for Neural Machine Translation,NOVEL,MT,2021,0.7079512847035413,0.6,0.9167448878288268,60.0
NOVEL_DIA_40,Zero-Shot Dialogue Disentanglement by Self-Supervised Entangled Response Selection,NOVEL,DIA,2021,0.7144685574189021,0.4827586206896552,0.945058524608612,29.0
NOVEL_MT_291,Almost Free Semantic Draft for Neural Machine Translation,NOVEL,MT,2021,0.7205094337434084,0.5909090909090909,0.9294455647468568,132.0
NOVEL_MT_209,Like Chalk and Cheese On the Effects of Translationese in MT Training,NOVEL,MT,2021,0.7207950095529081,0.6291390728476821,0.9355510473251344,151.0
NOVEL_MT_287,Scrambled Translation Problem A Problem of Denoising UNMT,NOVEL,MT,2021,0.722096406699017,0.6703296703296703,0.9312946200370787,91.0
NOVEL_MT_155,Understanding the Properties of Minimum Bayes Risk Decoding in Neural Machine Translation,NOVEL,MT,2021,0.7230700974619212,0.6,0.9332724809646606,40.0
NOVEL_DIA_39,Exophoric Pronoun Resolution in Dialogues with Topic Regularization,NOVEL,DIA,2021,0.723435745433683,0.63,0.926443874835968,100.0
NOVEL_QA_24,UPB at SemEval-2021 Task 8 Extracting Semantic Information on Measurements as Multi-Turn Question Answering,NOVEL,QA,2021,0.7238199456313877,0.6881720430107527,0.9255879521369934,93.0
NOVEL_MT_270,Don’t Rule Out Monolingual Speakers A Method For Crowdsourcing Machine Translation Data,NOVEL,MT,2021,0.7238332884844957,0.5555555555555556,0.946445643901825,63.0
NOVEL_SA_26,Ask what’s missing and what’s useful Improving Clarification Question Generation using Global Knowledge,NOVEL,SA,2021,0.7294732118160523,0.7054263565891473,0.9315139651298524,129.0
NOVEL_MT_0,Investigating Softmax Tempering for Training Neural Machine Translation Models,NOVEL,MT,2021,0.7301405758300659,0.6164383561643836,0.9428442120552064,73.0
NOVEL_DIA_12,Different Strokes for Different Folks Investigating Appropriate Further Pre-training Approaches for Diverse Dialogue Tasks,NOVEL,DIA,2021,0.7302091567625749,0.7121212121212122,0.9265693426132202,132.0
NOVEL_MT_45,Surprise Language Challenge Developing a Neural Machine Translation System between Pashto and English in Two Months,NOVEL,MT,2021,0.7303964861705782,0.675,0.9285638928413392,40.0
NOVEL_MT_91,Translating Headers of Tabular Data A Pilot Study of Schema Translation,NOVEL,MT,2021,0.7320522438366047,0.6844444444444444,0.9284208416938782,225.0
NOVEL_MT_153,“Wikily” Supervised Neural Translation Tailored to Cross-Lingual Tasks,NOVEL,MT,2021,0.7326804506228799,0.5846994535519126,0.9391485452651978,183.0
NOVEL_SA_67,Hurdles to Progress in Long-form Question Answering,NOVEL,SA,2021,0.7343429089114435,0.6428571428571429,0.933031439781189,98.0
NOVEL_MT_9,Self-Training for Unsupervised Neural Machine Translation in Unbalanced Training Data Scenarios,NOVEL,MT,2020,0.7357932947056554,0.5094339622641509,0.9488226175308228,53.0
