paper_id,label
BLOG_DIA_0,0
BLOG_DIA_1,0
BLOG_DIA_2,0
BLOG_DIA_3,0
BLOG_DIA_4,0
BLOG_DIA_5,0
BLOG_DIA_6,0
BLOG_DIA_7,0
BLOG_DIA_8,0
BLOG_DIA_9,0
BLOG_DIA_10,0
NOVEL_DIA_0,1
NOVEL_DIA_1,1
NOVEL_DIA_2,1
NOVEL_DIA_3,1
NOVEL_DIA_4,1
NOVEL_DIA_5,1
NOVEL_DIA_6,1
NOVEL_DIA_7,1
NOVEL_DIA_8,1
NOVEL_DIA_9,1
NOVEL_DIA_10,1
NOVEL_DIA_11,1
NOVEL_DIA_12,1
NOVEL_DIA_13,1
NOVEL_DIA_14,1
NOVEL_DIA_15,1
NOVEL_DIA_16,1
NOVEL_DIA_17,1
NOVEL_DIA_18,1
NOVEL_DIA_19,1
NOVEL_DIA_20,1
NOVEL_DIA_21,1
NOVEL_DIA_22,1
NOVEL_DIA_23,1
NOVEL_DIA_24,1
NOVEL_DIA_25,1
NOVEL_DIA_26,1
NOVEL_DIA_27,1
NOVEL_DIA_28,1
NOVEL_DIA_29,1
NOVEL_DIA_30,1
NOVEL_DIA_31,1
NOVEL_DIA_32,1
NOVEL_DIA_33,1
NOVEL_DIA_34,1
NOVEL_DIA_35,1
NOVEL_DIA_37,1
NOVEL_DIA_38,1
NOVEL_DIA_39,1
NOVEL_DIA_40,1
NOVEL_DIA_41,1
NOVEL_DIA_42,1
NOVEL_DIA_43,1
NOVEL_DIA_44,1
NOVEL_DIA_45,1
NOVEL_DIA_46,1
NOVEL_DIA_47,1
NOVEL_DIA_48,1
NOVEL_DIA_49,1
NOVEL_DIA_50,1
NOVEL_DIA_51,1
NOVEL_DIA_52,1
NOVEL_DIA_53,1
NOVEL_DIA_54,1
NOVEL_DIA_55,1
NOVEL_DIA_56,1
NOVEL_DIA_57,1
NOVEL_DIA_58,1
NOVEL_DIA_59,1
NOVEL_DIA_60,1
NOVEL_DIA_61,1
NOVEL_DIA_62,1
NOVEL_DIA_63,1
NOVEL_DIA_64,1
NOVEL_DIA_65,1
NOVEL_DIA_66,1
NOVEL_DIA_67,1
NOVEL_DIA_68,1
NOVEL_DIA_69,1
NOVEL_DIA_70,1
NOVEL_DIA_71,1
SKG_DIA_0,0
SKG_DIA_2,0
SKG_DIA_3,0
SKG_DIA_4,0
SKG_DIA_5,0
SKG_DIA_6,0
SKG_DIA_7,0
SKG_DIA_8,0
SKG_DIA_9,0
SKG_DIA_10,0
SKG_DIA_11,0
SKG_DIA_12,0
SKG_DIA_13,0
SKG_DIA_14,0
SKG_DIA_15,0
SKG_DIA_16,0
SKG_DIA_17,0
SKG_DIA_18,0
SKG_DIA_19,0
SKG_DIA_20,0
SKG_DIA_21,0
SKG_DIA_22,0
SKG_DIA_23,0
SKG_DIA_24,0
SKG_DIA_25,0
SKG_DIA_26,0
SKG_DIA_27,0
SKG_DIA_28,0
SKG_DIA_29,0
SKG_DIA_30,0
SKG_DIA_31,0
SKG_DIA_32,0
SKG_DIA_33,0
SKG_DIA_34,0
SKG_DIA_35,0
SKG_DIA_36,0
SKG_DIA_39,0
SKG_DIA_40,0
SKG_DIA_41,0
SKG_DIA_42,0
SKG_DIA_43,0
SKG_DIA_44,0
SKG_DIA_45,0
SKG_DIA_46,0
SKG_DIA_47,0
SKG_DIA_48,0
SKG_DIA_49,0
SKG_DIA_50,0
SKG_DIA_51,0
SKG_DIA_52,0
SKG_DIA_53,0
SKG_DIA_54,0
SKG_DIA_55,0
SKG_DIA_56,0
SKG_DIA_57,0
SKG_DIA_58,0
SKG_DIA_59,0
SKG_DIA_60,0
SKG_DIA_61,0
SKG_DIA_62,0
SKG_DIA_63,0
SKG_DIA_64,0
SKG_DIA_65,0
SKG_DIA_66,0
SKG_DIA_67,0
SKG_DIA_68,0
SKG_DIA_69,0
SKG_DIA_70,0
SKG_DIA_71,0
SKG_DIA_72,0
SKG_DIA_73,0
SKG_DIA_74,0
SKG_DIA_75,0
SKG_DIA_76,0
SKG_DIA_77,0
SKG_DIA_78,0
SKG_DIA_79,0
SKG_DIA_80,0
SKG_DIA_82,0
SKG_DIA_84,0
SKG_DIA_86,0
SKG_DIA_87,0
SKG_DIA_88,0
SKG_DIA_89,0
SKG_DIA_90,0
SKG_DIA_91,0
SKG_DIA_92,0
SKG_DIA_93,0
SKG_DIA_94,0
SKG_DIA_95,0
SKG_DIA_96,0
SKG_DIA_97,0
SKG_DIA_98,0
SKG_DIA_99,0
SKG_DIA_100,0
SKG_DIA_101,0
SKG_DIA_102,0
SKG_DIA_103,0
SKG_DIA_104,0
SKG_DIA_105,0
SKG_DIA_106,0
SKG_DIA_107,0
SKG_DIA_108,0
SKG_DIA_109,0
SKG_DIA_110,0
SKG_DIA_111,0
SKG_DIA_112,0
SKG_DIA_113,0
SKG_DIA_115,0
SKG_DIA_116,0
SKG_DIA_117,0
SKG_DIA_118,0
SKG_DIA_119,0
SKG_DIA_120,0
SKG_DIA_122,0
SKG_DIA_123,0
SKG_DIA_124,0
SKG_DIA_125,0
SKG_DIA_126,0
SKG_DIA_127,0
SKG_DIA_128,0
SKG_DIA_129,0
SKG_DIA_131,0
SKG_DIA_132,0
SKG_DIA_133,0
SKG_DIA_134,0
SKG_DIA_135,0
SKG_DIA_136,0
SKG_DIA_137,0
SKG_DIA_138,0
SKG_DIA_139,0
SKG_DIA_140,0
SKG_DIA_141,0
SKG_DIA_142,0
SKG_DIA_143,0
SKG_DIA_144,0
SKG_DIA_145,0
SKG_DIA_146,0
SKG_DIA_147,0
SKG_DIA_148,0
SKG_DIA_149,0
SKG_DIA_150,0
SKG_DIA_151,0
SKG_DIA_152,0
SKG_DIA_153,0
SKG_DIA_154,0
SKG_DIA_155,0
SKG_DIA_156,0
SKG_DIA_157,0
SKG_DIA_158,0
SKG_DIA_159,0
SKG_DIA_160,0
SKG_DIA_161,0
SKG_DIA_162,0
SKG_DIA_163,0
SKG_DIA_164,0
SKG_DIA_165,0
SKG_DIA_166,0
SKG_DIA_167,0
SKG_DIA_168,0
SKG_DIA_169,0
SKG_DIA_170,0
SKG_DIA_171,0
SKG_DIA_172,0
SKG_DIA_173,0
SKG_DIA_174,0
SKG_DIA_175,0
SKG_DIA_176,0
SKG_DIA_177,0
SKG_DIA_178,0
SKG_DIA_179,0
SKG_DIA_180,0
SKG_DIA_182,0
SKG_DIA_183,0
SKG_DIA_184,0
SKG_DIA_185,0
SKG_DIA_186,0
SKG_DIA_187,0
SKG_DIA_188,0
SKG_DIA_189,0
SKG_DIA_190,0
SKG_DIA_191,0
SKG_DIA_192,0
SKG_DIA_193,0
SKG_DIA_194,0
SKG_DIA_195,0
SKG_DIA_196,0
SKG_DIA_197,0
SKG_DIA_198,0
